timestamp,open,high,low,close,volume,bid,ask,body_size,body_percent,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,macd,macd_signal,macd_hist,rsi_14,slowk,slowd,atr,bb_upper,bb_middle,bb_lower,pattern_doji,pattern_hammer,pattern_hanging_man,pattern_engulfing,pattern_evening_star,pattern_morning_star,pattern_shooting_star,pattern_inverted_hammer,pattern_harami,pattern_three_outside,pattern_three_inside,pattern_dark_cloud_cover,pattern_piercing,pattern_spinning_top,pattern_marubozu,bullish_pattern,bearish_pattern,pattern_signal,adx
2025-05-07 19:16:06.303316,1.130985,1.130985,1.130985,1.130985,0,1.13098,1.13099,0.0,0.0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2025-05-07 19:16:07.748934,1.1309749999999998,1.1309749999999998,1.1309749999999998,1.1309749999999998,0,1.13092,1.13103,0.0,0.0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2025-05-07 19:16:10.513647,1.131005,1.131005,1.131005,1.131005,0,1.131,1.13101,0.0,0.0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2025-05-07 19:16:12.066709,1.131015,1.131015,1.131015,1.131015,0,1.13101,1.13102,0.0,0.0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2025-05-07 19:16:12.179622,1.131015,1.131015,1.131015,1.131015,0,1.13101,1.13102,0.0,0.0,1.1309989999999999,1.1309989999999999,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2025-05-07 19:16:12.326862,1.131015,1.131015,1.131015,1.131015,0,1.13101,1.13102,0.0,0.0,1.131005,1.1310043333333333,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2025-05-07 19:16:13.900706,1.131045,1.131045,1.131045,1.131045,0,1.13099,1.1311,0.0,0.0,1.1310190000000002,1.1310178888888889,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2025-05-07 19:16:16.657558,1.131035,1.131035,1.131035,1.131035,0,1.13097,1.1311,0.0,0.0,1.1310250000000002,1.1310235925925927,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2025-05-07 19:16:18.076024,1.131085,1.131085,1.131085,1.131085,0,1.13103,1.13114,0.0,0.0,1.131039,1.131044061728395,,,,,,,,,,,88.88888888880665,92.59259259253777,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2025-05-07 19:16:18.366314,1.131075,1.131075,1.131075,1.131075,0,1.13102,1.13113,0.0,0.0,1.1310509999999998,1.1310543744855968,1.131025,1.131025,,,,,,,,,84.1269841269623,87.3015873015252,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
