timestamp,open,high,low,close,volume,bid,ask,body_size,body_percent,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,macd,macd_signal,macd_hist,rsi_14,slowk,slowd,atr,bb_upper,bb_middle,bb_lower,pattern_doji,pattern_hammer,pattern_hanging_man,pattern_engulfing,pattern_evening_star,pattern_morning_star,pattern_shooting_star,pattern_inverted_hammer,pattern_harami,pattern_three_outside,pattern_three_inside,pattern_dark_cloud_cover,pattern_piercing,pattern_spinning_top,pattern_marubozu,bullish_pattern,bearish_pattern,pattern_signal,adx,plus_di,minus_di,sar,cci,mfi,roc,willr,trix
2025-05-08 07:28:06.863775,1.128625,1.128625,1.128625,1.128625,1,1.12855,1.1287,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2025-05-08 07:28:06.886902,1.128625,1.128625,1.128625,1.128625,1,1.12855,1.1287,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.128625,,,,,
2025-05-08 07:28:07.071704,1.128625,1.128625,1.128625,1.128625,1,1.12855,1.1287,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.128625,,,,,
2025-05-08 07:28:09.491808,1.128645,1.128645,1.128645,1.128645,1,1.12864,1.12865,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.128625,,,,,
2025-05-08 07:28:12.219348,1.128675,1.128675,1.128675,1.128675,1,1.12867,1.12868,0.0,0.0,1.1286390000000002,1.1286390000000002,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.128625,,,,,
2025-05-08 07:28:12.424647,1.128755,1.128755,1.128755,1.128755,1,1.12868,1.12883,0.0,0.0,1.1286650000000003,1.1286776666666667,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.128628,,,,,
2025-05-08 07:28:12.546953,1.128755,1.128755,1.128755,1.128755,1,1.12868,1.12883,0.0,0.0,1.1286910000000003,1.1287034444444444,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.12863816,,,,,
2025-05-08 07:28:12.550772,1.128755,1.128755,1.128755,1.128755,1,1.12868,1.12883,0.0,0.0,1.1287170000000004,1.1287206296296295,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.1286475072,,,,,
2025-05-08 07:28:12.849390,1.128755,1.128755,1.128755,1.128755,1,1.12868,1.12883,0.0,0.0,1.1287390000000004,1.128732086419753,,,,,,,,,,,,,100.0,100.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.128656106624,,,,,
2025-05-08 07:28:15.207669,1.128655,1.128655,1.128655,1.128655,1,1.12865,1.12866,0.0,0.0,1.1287350000000003,1.128706390946502,1.128687,1.128687,,,,,,,,,,,66.66666666666667,88.8888888888889,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.128755,,,,,
