timestamp,open,high,low,close,volume,bid,ask,body_size,body_percent,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,macd,macd_signal,macd_hist,rsi_14,slowk,slowd,atr,bb_upper,bb_middle,bb_lower,pattern_doji,pattern_hammer,pattern_hanging_man,pattern_engulfing,pattern_evening_star,pattern_morning_star,pattern_shooting_star,pattern_inverted_hammer,pattern_harami,pattern_three_outside,pattern_three_inside,pattern_dark_cloud_cover,pattern_piercing,pattern_spinning_top,pattern_marubozu,bullish_pattern,bearish_pattern,pattern_signal
2025-05-07 19:15:12.966375,1.131115,1.131115,1.131115,1.131115,0,1.13106,1.13117,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:15:16.456534,1.131115,1.131115,1.131115,1.131115,0,1.13111,1.13112,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:15:16.469234,1.131115,1.131115,1.131115,1.131115,0,1.13111,1.13112,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:15:16.622571,1.131105,1.131105,1.131105,1.131105,0,1.1311,1.13111,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:15:17.580435,1.131215,1.131215,1.131215,1.131215,0,1.13121,1.13122,0.0,0.0,1.131133,1.131133,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:15:17.914345,1.131125,1.131125,1.131125,1.131125,0,1.13106,1.13119,0.0,0.0,1.131135,1.1311303333333333,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:15:19.214367,1.13125,1.13125,1.13125,1.13125,0,1.13121,1.13129,0.0,0.0,1.1311619999999998,1.1311702222222222,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:15:22.591006,1.131185,1.131185,1.131185,1.131185,0,1.13118,1.13119,0.0,0.0,1.1311759999999997,1.1311751481481482,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:15:22.594469,1.131185,1.131185,1.131185,1.131185,0,1.13118,1.13119,0.0,0.0,1.131192,1.1311784320987655,,,,,,,,,,,,,67.7241379310711,66.07871821664459,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:15:22.867994,1.131175,1.131175,1.131175,1.131175,0,1.13117,1.13118,0.0,0.0,1.1311839999999997,1.1311772880658437,1.1311585000000002,1.1311585000000002,,,,,,,,,,,47.72413793108294,57.74433995125819,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:15:23.711333,1.131215,1.131215,1.131215,1.131215,0,1.13115,1.13128,0.0,0.0,1.1312019999999998,1.1311898587105624,1.1311685,1.1311687727272728,,,,,,,,,,,47.111111111155594,54.18646232443655,,,,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:15:24.083056,1.131235,1.131235,1.131235,1.131235,0,1.13117,1.1313,0.0,0.0,1.1311989999999998,1.1312049058070417,1.1311805000000001,1.131180814049587,,,,,,,,,,,64.44444444446287,53.09323116223381,,,,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:15:25.562323,1.131225,1.131225,1.131225,1.131225,0,1.13122,1.13123,0.0,0.0,1.1312069999999996,1.131211603871361,1.1311915000000003,1.1311888478587528,,,,,,,,,,,78.88888888885435,63.48148148149095,,,,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:15:28.835586,1.13119,1.13119,1.13119,1.13119,0,1.13116,1.13122,0.0,0.0,1.1312079999999995,1.1312044025809074,1.1312000000000002,1.1311890573389796,,,,,,,,,,,69.44444444434164,70.9259259258863,,,,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:15:28.839750,1.13119,1.13119,1.13119,1.13119,0,1.13116,1.13122,0.0,0.0,1.1312109999999997,1.131199601720605,1.1311975000000003,1.1311892287318923,,,,,,,,,,57.28155339803439,36.11111111100831,61.48148148140145,3.678571428574909e-05,,,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
