timestamp,open,high,low,close,volume,bid,ask,body_size,body_percent,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,macd,macd_signal,macd_hist,rsi_14,slowk,slowd,atr,bb_upper,bb_middle,bb_lower,pattern_doji,pattern_hammer,pattern_hanging_man,pattern_engulfing,pattern_evening_star,pattern_morning_star,pattern_shooting_star,pattern_inverted_hammer,pattern_harami,pattern_three_outside,pattern_three_inside,pattern_dark_cloud_cover,pattern_piercing,pattern_spinning_top,pattern_marubozu,bullish_pattern,bearish_pattern,pattern_signal
2025-05-07 19:16:42.260373,1.1310250000000002,1.1310250000000002,1.1310250000000002,1.1310250000000002,0,1.13094,1.13111,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:43.958329,1.130975,1.130975,1.130975,1.130975,0,1.13097,1.13098,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:44.581899,1.131005,1.131005,1.131005,1.131005,0,1.131,1.13101,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:46.367020,1.131035,1.131035,1.131035,1.131035,0,1.13103,1.13104,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:48.336416,1.131015,1.131015,1.131015,1.131015,0,1.13101,1.13102,0.0,0.0,1.1310110000000002,1.1310110000000002,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:50.152445,1.130975,1.130975,1.130975,1.130975,0,1.13097,1.13098,0.0,0.0,1.1310010000000001,1.130999,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:50.719992,1.130975,1.130975,1.130975,1.130975,0,1.13097,1.13098,0.0,0.0,1.1310010000000001,1.130991,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:52.705987,1.131025,1.131025,1.131025,1.131025,0,1.13102,1.13103,0.0,0.0,1.1310050000000003,1.1310023333333334,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:54.445571,1.13098,1.13098,1.13098,1.13098,0,1.13095,1.13101,0.0,0.0,1.1309940000000003,1.130994888888889,,,,,,,,,31.1111111110996,27.0370370370332,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-07 19:16:56.279402,1.130855,1.130855,1.130855,1.130855,0,1.1308,1.13091,0.0,0.0,1.1309620000000002,1.1309482592592592,1.1309865000000001,1.1309865000000001,,,,,,,31.1111111110996,29.999999999978623,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
