
Collecting usage statistics. To deactivate, set browser.gatherUsageStats to false.


  You can now view your Streamlit app in your browser.

  Local URL: http://localhost:8501
  Network URL: http://192.168.8.122:8501
  External URL: http://178.53.203.149:8501

2025-05-07 19:19:20,252 - Dashboard - INFO - Initialized dashboard for EUR_USD with 5m timeframe
2025-05-07 19:19:20,252 - Dashboard - INFO - Data directory: /home/clouduser/spike/forex_spike_predictor/specialized/data
2025-05-07 19:19:20,253 - Dashboard - INFO - Starting data refresh thread with 60s interval
2025-05-07 19:19:20,255 - Dashboard - INFO - Loading raw data from /home/clouduser/spike/forex_spike_predictor/specialized/data/raw/EUR_USD/5m/latest.csv
2025-05-07 19:19:20,335 - Dashboard - INFO - Loaded 5468 records from /home/clouduser/spike/forex_spike_predictor/specialized/data/raw/EUR_USD/5m/latest.csv
2025-05-07 19:19:20,337 - Dashboard - INFO - Loading analyzed data for minimum from /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/minimum/latest_analyzed.csv
2025-05-07 19:19:20,344 - Dashboard - INFO - Loaded 7 records from /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/minimum/latest_analyzed.csv
2025-05-07 19:19:20,345 - Dashboard - INFO - Loading pattern data for minimum from /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/minimum/latest_patterns.json
2025-05-07 19:19:20,346 - Dashboard - INFO - Loaded 3 pattern types with 3 instances from /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/minimum/latest_patterns.json
2025-05-07 19:19:20,347 - Dashboard - INFO - Loading analyzed data for recommended from /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/recommended/latest_analyzed.csv
2025-05-07 19:19:20,353 - Dashboard - INFO - Loaded 7 records from /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/recommended/latest_analyzed.csv
2025-05-07 19:19:20,354 - Dashboard - INFO - Loading pattern data for recommended from /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/recommended/latest_patterns.json
2025-05-07 19:19:20,355 - Dashboard - INFO - Loaded 5 pattern types with 5 instances from /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/recommended/latest_patterns.json
2025-05-07 19:19:20,357 - Dashboard - INFO - Loading analyzed data for optimal from /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/optimal/latest_analyzed.csv
2025-05-07 19:19:20,363 - Dashboard - INFO - Loaded 7 records from /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/optimal/latest_analyzed.csv
2025-05-07 19:19:20,364 - Dashboard - INFO - Loading pattern data for optimal from /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/optimal/latest_patterns.json
2025-05-07 19:19:20,365 - Dashboard - INFO - Loaded 6 pattern types with 6 instances from /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/optimal/latest_patterns.json
