
Collecting usage statistics. To deactivate, set browser.gatherUsageStats to false.


  You can now view your Streamlit app in your browser.

  Local URL: http://localhost:8501
  Network URL: http://100.81.82.95:8501
  External URL: http://37.39.186.45:8501

2025-05-07 09:46:08,470 - Dashboard - INFO - Initialized dashboard for EUR_USD with 5m timeframe
2025-05-07 09:46:08,471 - Dashboard - INFO - Data directory: /home/clouduser/spike/forex_spike_predictor/specialized/data
2025-05-07 09:46:08,472 - Dashboard - INFO - Starting data refresh thread with 60s interval
2025-05-07 09:46:08,475 - Dashboard - INFO - Loading raw data from /home/clouduser/spike/forex_spike_predictor/specialized/data/raw/EUR_USD/5m/test.csv
2025-05-07 09:46:08,479 - Dashboard - ERROR - Error loading raw data: No columns to parse from file
2025-05-07 09:46:08,480 - Dashboard - WARNING - No files matching '_analyzed.csv' found in /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/minimum
2025-05-07 09:46:08,481 - Dashboard - WARNING - No files matching '_patterns.json' found in /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/minimum
2025-05-07 09:46:08,482 - Dashboard - WARNING - No files matching '_analyzed.csv' found in /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/recommended
2025-05-07 09:46:08,501 - Dashboard - WARNING - No files matching '_patterns.json' found in /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/recommended
2025-05-07 09:46:08,524 - Dashboard - WARNING - No files matching '_analyzed.csv' found in /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/optimal
2025-05-07 09:46:08,548 - Dashboard - WARNING - No files matching '_patterns.json' found in /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/optimal
2025-05-07 09:46:08,551 - Dashboard - WARNING - No files matching '_predictions.json' found in /home/clouduser/spike/forex_spike_predictor/specialized/data/predictions/EUR_USD/5m
2025-05-07 09:46:08,554 - Dashboard - WARNING - No files matching '_performance.json' found in /home/clouduser/spike/forex_spike_predictor/specialized/data/predictions/EUR_USD/5m
2025-05-07 09:46:11,438 - Dashboard - INFO - Initialized dashboard for EUR_USD with 5m timeframe
2025-05-07 09:46:11,438 - Dashboard - INFO - Data directory: /home/clouduser/spike/forex_spike_predictor/specialized/data
2025-05-07 09:46:11,439 - Dashboard - INFO - Starting data refresh thread with 60s interval
2025-05-07 09:46:11,482 - Dashboard - INFO - Loading raw data from /home/clouduser/spike/forex_spike_predictor/specialized/data/raw/EUR_USD/5m/test.csv
2025-05-07 09:46:11,484 - Dashboard - ERROR - Error loading raw data: No columns to parse from file
2025-05-07 09:46:11,485 - Dashboard - WARNING - No files matching '_analyzed.csv' found in /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/minimum
2025-05-07 09:46:11,486 - Dashboard - WARNING - No files matching '_patterns.json' found in /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/minimum
2025-05-07 09:46:11,487 - Dashboard - WARNING - No files matching '_analyzed.csv' found in /home/clouduser/spike/forex_spike_predictor/specialized/data/analyzed/EUR_USD/5m/recommended
